,index,Image_ID,Question,Ground_Truth,Question_Type
41,68,10184.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
42,69,10184.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
43,70,10300.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
44,71,10300.JPG,Is the entire road flooded?,No,Yes/No_Road
45,72,10300.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
46,73,10300.JPG,How many buildings are non flooded?,3,Complex_Counting
47,74,10300.JPG,How many buildings are in this image?,3,Simple_Counting
48,75,10566.JPG,How many buildings are non flooded in this image?,2,Complex_Counting
49,76,10566.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
50,77,10566.JPG,What is the condition of road?,non flooded,Condition_Road
51,78,10566.JPG,How many buildings can be seen in the image?,2,Simple_Counting
52,79,10566.JPG,Is the entire road flooded?,No,Yes/No_Road
53,80,10687.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
54,81,10806.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
55,82,10806.JPG,How many buildings are non flooded in this image?,6,Complex_Counting
56,83,10806.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
57,84,10806.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
58,85,10806.JPG,How many buildings are in this image?,6,Simple_Counting
59,96,10810.JPG,How many buildings are in the image?,5,Simple_Counting
60,97,10810.JPG,Is the entire road flooded?,No,Yes/No_Road
61,98,10810.JPG,How many buildings are non flooded?,5,Complex_Counting
62,99,10810.JPG,What is the condition of road?,non flooded,Condition_Road
63,100,10810.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
64,101,10811.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
65,102,10811.JPG,How many buildings can be seen in the image?,4,Simple_Counting
66,103,10811.JPG,What is the condition of road?,non flooded,Condition_Road
67,104,10811.JPG,How many buildings are non flooded?,4,Complex_Counting
68,105,10811.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
69,131,10817.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
70,132,10817.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
71,133,10817.JPG,How many non flooded buildings can be seen in this image?,3,Complex_Counting
72,134,10817.JPG,How many buildings are in the image?,3,Simple_Counting
73,135,10817.JPG,What is the condition of road?,non flooded,Condition_Road
74,136,10818.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
75,137,10818.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
76,138,10818.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
77,139,10818.JPG,How many non flooded buildings can be seen in this image?,3,Complex_Counting
78,140,10818.JPG,How many buildings are in the image?,3,Simple_Counting
79,141,10819.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
80,142,10820.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
81,143,10821.JPG,Is the entire road flooded?,No,Yes/No_Road
82,144,10821.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
83,145,10821.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
84,151,10825.JPG,How many buildings can be seen in the image?,1,Simple_Counting
85,152,10825.JPG,How many non flooded buildings can be seen in this image?,1,Complex_Counting
86,153,10825.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
87,154,10826.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
88,155,10827.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
89,156,10828.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
90,159,10834.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
91,160,10835.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
92,161,10836.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
93,162,10837.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
94,167,10840.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
95,168,10840.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
96,169,10840.JPG,What is the condition of road?,non flooded,Condition_Road
97,170,10841.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
98,171,10841.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
99,172,10841.JPG,What is the condition of road?,non flooded,Condition_Road
100,189,11723.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
101,190,6279.JPG,How many buildings can be seen in this image?,1,Simple_Counting
102,191,6279.JPG,How many non flooded buildings can be seen in this image?,1,Complex_Counting
103,192,6279.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
104,193,6287.JPG,What is the condition of road?,non flooded,Condition_Road
105,194,6287.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
106,195,6287.JPG,Is the entire road flooded?,No,Yes/No_Road
107,199,6332.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
108,200,6332.JPG,What is the condition of road?,non flooded,Condition_Road
109,201,6332.JPG,Is the entire road flooded?,No,Yes/No_Road
110,205,6334.JPG,Is the entire road flooded?,No,Yes/No_Road
111,206,6334.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
112,207,6334.JPG,What is the condition of road?,non flooded,Condition_Road
113,208,6335.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
114,209,6335.JPG,What is the condition of road?,non flooded,Condition_Road
115,210,6335.JPG,Is the entire road flooded?,No,Yes/No_Road
116,217,6338.JPG,What is the condition of road?,non flooded,Condition_Road
117,218,6338.JPG,Is the entire road flooded?,No,Yes/No_Road
118,219,6338.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
119,223,6340.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
120,224,6340.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
121,225,6340.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
122,226,6341.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
123,227,6341.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
124,228,6341.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
125,235,6344.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
126,236,6344.JPG,What is the condition of road?,non flooded,Condition_Road
127,237,6344.JPG,Is the entire road flooded?,No,Yes/No_Road
128,241,6346.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
129,242,6346.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
130,243,6346.JPG,What is the condition of road?,non flooded,Condition_Road
131,244,6347.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
132,245,6347.JPG,Is the entire road flooded?,No,Yes/No_Road
133,246,6347.JPG,What is the condition of road?,non flooded,Condition_Road
134,247,6348.JPG,What is the condition of road?,non flooded,Condition_Road
135,248,6348.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
136,249,6348.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
137,253,6350.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
138,254,6350.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
139,255,6350.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
140,256,6351.JPG,What is the condition of road?,non flooded,Condition_Road
141,257,6351.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
142,258,6351.JPG,Is the entire road flooded?,No,Yes/No_Road
143,259,6352.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
144,260,6352.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
145,261,6352.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
146,265,6354.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
147,266,6354.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
148,267,6354.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
149,277,6358.JPG,What is the condition of road?,non flooded,Condition_Road
150,278,6358.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
151,279,6358.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
152,280,6359.JPG,What is the condition of road?,non flooded,Condition_Road
153,281,6359.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
154,282,6359.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
155,283,6360.JPG,Is the entire road flooded?,No,Yes/No_Road
156,284,6360.JPG,What is the condition of road?,non flooded,Condition_Road
157,285,6360.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
158,286,6361.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
159,287,6361.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
160,288,6361.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
161,292,6363.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
162,293,6363.JPG,Is the entire road flooded?,No,Yes/No_Road
163,294,6363.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
164,295,6364.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
165,296,6364.JPG,What is the condition of road?,non flooded,Condition_Road
166,297,6364.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
167,298,6365.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
168,299,6365.JPG,What is the condition of road?,non flooded,Condition_Road
169,300,6365.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
170,304,6367.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
171,305,6367.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
172,306,6367.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
173,307,6368.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
174,308,6368.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
175,309,6368.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
176,310,6369.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
177,311,6369.JPG,What is the condition of road?,non flooded,Condition_Road
178,312,6369.JPG,Is the entire road flooded?,No,Yes/No_Road
179,313,6370.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
180,314,6370.JPG,What is the condition of road?,non flooded,Condition_Road
181,315,6370.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
182,319,6372.JPG,What is the condition of road?,non flooded,Condition_Road
183,320,6372.JPG,Is the entire road flooded?,No,Yes/No_Road
184,321,6372.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
185,322,6373.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
186,323,6373.JPG,Is the entire road flooded?,No,Yes/No_Road
187,324,6373.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
188,325,6374.JPG,What is the condition of road?,non flooded,Condition_Road
189,326,6374.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
190,327,6374.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
191,328,6375.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
192,329,6375.JPG,Is the entire road flooded?,No,Yes/No_Road
193,330,6375.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
194,331,6376.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
195,332,6376.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
196,333,6376.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
197,340,6379.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
198,341,6379.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
199,342,6379.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
200,346,6381.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
201,347,6381.JPG,What is the condition of road?,non flooded,Condition_Road
202,348,6381.JPG,Is the entire road flooded?,No,Yes/No_Road
203,352,6384.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
204,353,6384.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
205,354,6384.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
206,355,6385.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
207,356,6385.JPG,What is the condition of road?,non flooded,Condition_Road
208,357,6385.JPG,Is the entire road flooded?,No,Yes/No_Road
209,358,6386.JPG,Is the entire road flooded?,No,Yes/No_Road
210,359,6386.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
211,360,6386.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
212,361,6387.JPG,What is the condition of road?,non flooded,Condition_Road
213,362,6387.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
214,363,6387.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
215,364,6388.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
216,365,6388.JPG,Is the entire road flooded?,No,Yes/No_Road
217,366,6388.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
218,379,6393.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
219,380,6393.JPG,What is the condition of road?,non flooded,Condition_Road
220,381,6393.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
221,385,6395.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
222,386,6395.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
223,387,6395.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
224,391,6397.JPG,What is the condition of road?,non flooded,Condition_Road
225,392,6397.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
226,393,6397.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
227,394,6398.JPG,Is the entire road flooded?,No,Yes/No_Road
228,395,6398.JPG,What is the condition of road?,non flooded,Condition_Road
229,396,6398.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
230,397,6399.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
231,398,6399.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
232,399,6399.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
233,403,6402.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
234,404,6402.JPG,What is the condition of road?,non flooded,Condition_Road
235,405,6402.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
236,406,6403.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
237,407,6403.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
238,408,6403.JPG,Is the entire road flooded?,No,Yes/No_Road
239,409,6404.JPG,What is the condition of road?,non flooded,Condition_Road
240,410,6404.JPG,Is the entire road flooded?,No,Yes/No_Road
241,411,6404.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
242,418,6407.JPG,Is the entire road flooded?,No,Yes/No_Road
243,419,6407.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
244,420,6407.JPG,What is the condition of road?,non flooded,Condition_Road
245,421,6408.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
246,422,6408.JPG,Is the entire road flooded?,No,Yes/No_Road
247,423,6408.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
248,424,6409.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
249,425,6409.JPG,Is the entire road flooded?,No,Yes/No_Road
250,426,6409.JPG,What is the condition of road?,non flooded,Condition_Road
251,430,6411.JPG,How many buildings can be seen in this image?,6,Simple_Counting
252,431,6411.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
253,432,6411.JPG,How many buildings are non flooded in this image?,6,Complex_Counting
254,433,6411.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
255,434,6411.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
256,440,6413.JPG,Is the entire road flooded?,No,Yes/No_Road
257,441,6413.JPG,How many buildings are in the image?,3,Simple_Counting
258,442,6413.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
259,443,6413.JPG,How many non flooded buildings can be seen in this image?,3,Complex_Counting
260,444,6413.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
261,445,6414.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
262,446,6414.JPG,How many non flooded buildings can be seen in this image?,3,Complex_Counting
263,447,6414.JPG,How many buildings are in the image?,3,Simple_Counting
264,448,6414.JPG,What is the condition of road?,non flooded,Condition_Road
265,449,6414.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
266,450,6415.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
267,451,6415.JPG,How many buildings can be seen in the image?,2,Simple_Counting
268,452,6415.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
269,453,6415.JPG,How many non flooded buildings can be seen in this image?,2,Complex_Counting
270,454,6415.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
271,455,6416.JPG,How many buildings are in this image?,2,Simple_Counting
272,456,6416.JPG,How many buildings are non flooded in this image?,2,Complex_Counting
273,457,6416.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
274,458,6416.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
275,459,6416.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
276,475,6421.JPG,How many non flooded buildings can be seen in this image?,4,Complex_Counting
277,476,6421.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
278,477,6421.JPG,How many buildings can be seen in this image?,4,Simple_Counting
279,478,6421.JPG,What is the condition of road?,non flooded,Condition_Road
280,479,6421.JPG,Is the entire road flooded?,No,Yes/No_Road
281,480,6422.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
282,481,6422.JPG,How many buildings are in the image?,4,Simple_Counting
283,482,6422.JPG,Is the entire road flooded?,No,Yes/No_Road
284,483,6422.JPG,How many buildings are non flooded?,4,Complex_Counting
285,484,6422.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
286,488,6424.JPG,Is the entire road flooded?,No,Yes/No_Road
287,489,6424.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
288,490,6424.JPG,How many buildings are non flooded in this image?,6,Complex_Counting
289,491,6424.JPG,What is the condition of road?,non flooded,Condition_Road
290,492,6424.JPG,How many buildings can be seen in the image?,6,Simple_Counting
291,493,6426.JPG,How many non flooded buildings can be seen in this image?,2,Complex_Counting
292,494,6426.JPG,Is the entire road flooded?,No,Yes/No_Road
293,495,6426.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
294,496,6426.JPG,How many buildings can be seen in this image?,2,Simple_Counting
295,497,6426.JPG,What is the condition of road?,non flooded,Condition_Road
296,498,6427.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
297,499,6427.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
298,500,6427.JPG,How many buildings can be seen in the image?,2,Simple_Counting
299,501,6427.JPG,How many non flooded buildings can be seen in this image?,2,Complex_Counting
300,502,6427.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
301,513,6430.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
302,514,6430.JPG,How many buildings are non flooded in this image?,4,Complex_Counting
303,515,6430.JPG,How many buildings are in this image?,4,Simple_Counting
304,516,6430.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
305,517,6430.JPG,Is the entire road flooded?,No,Yes/No_Road
306,518,6431.JPG,How many buildings are in this image?,3,Simple_Counting
307,519,6431.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
308,520,6431.JPG,How many buildings are non flooded?,3,Complex_Counting
309,521,6431.JPG,What is the condition of road?,non flooded,Condition_Road
310,522,6431.JPG,Is the entire road flooded?,No,Yes/No_Road
311,523,6433.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
312,524,6433.JPG,How many buildings are in this image?,2,Simple_Counting
313,525,6433.JPG,How many non flooded buildings can be seen in this image?,2,Complex_Counting
314,526,6433.JPG,Is the entire road flooded?,No,Yes/No_Road
315,527,6433.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
316,533,6435.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
317,534,6435.JPG,Is the entire road flooded?,No,Yes/No_Road
318,535,6435.JPG,How many non flooded buildings can be seen in this image?,2,Complex_Counting
319,536,6435.JPG,How many buildings are in this image?,2,Simple_Counting
320,537,6435.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
321,538,6437.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
322,539,6437.JPG,How many buildings are non flooded?,1,Complex_Counting
323,540,6437.JPG,Is the entire road flooded?,No,Yes/No_Road
324,541,6437.JPG,How many buildings are in this image?,1,Simple_Counting
325,542,6437.JPG,What is the condition of road?,non flooded,Condition_Road
326,543,6438.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
327,544,6438.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
328,545,6438.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
329,546,6442.JPG,How many buildings are non flooded?,2,Complex_Counting
330,547,6442.JPG,How many buildings can be seen in this image?,2,Simple_Counting
331,548,6442.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
332,549,6443.JPG,How many buildings can be seen in this image?,3,Simple_Counting
333,550,6443.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
334,551,6443.JPG,How many buildings are non flooded in this image?,3,Complex_Counting
335,552,6444.JPG,How many buildings are in this image?,3,Simple_Counting
336,553,6444.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
337,554,6444.JPG,How many non flooded buildings can be seen in this image?,3,Complex_Counting
338,560,6446.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
339,561,6446.JPG,How many buildings are in the image?,4,Simple_Counting
340,562,6446.JPG,How many non flooded buildings can be seen in this image?,4,Complex_Counting
341,563,6447.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
342,564,6447.JPG,How many buildings can be seen in this image?,3,Simple_Counting
343,565,6447.JPG,How many non flooded buildings can be seen in this image?,3,Complex_Counting
344,572,6450.JPG,How many buildings can be seen in the image?,2,Simple_Counting
345,573,6450.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
346,574,6450.JPG,How many buildings are non flooded in this image?,2,Complex_Counting
347,575,6451.JPG,How many buildings are non flooded in this image?,4,Complex_Counting
348,576,6451.JPG,How many buildings can be seen in this image?,4,Simple_Counting
349,577,6451.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
350,581,6453.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
351,582,6453.JPG,How many buildings are in this image?,4,Simple_Counting
352,583,6453.JPG,How many buildings are non flooded in this image?,4,Complex_Counting
353,584,6454.JPG,How many non flooded buildings can be seen in this image?,3,Complex_Counting
354,585,6454.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
355,586,6454.JPG,How many buildings can be seen in this image?,3,Simple_Counting
356,587,6455.JPG,How many buildings can be seen in the image?,3,Simple_Counting
357,588,6455.JPG,How many non flooded buildings can be seen in this image?,3,Complex_Counting
358,589,6455.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
359,590,6456.JPG,How many buildings are in this image?,3,Simple_Counting
360,591,6456.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
361,592,6456.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
362,593,6456.JPG,How many buildings are non flooded in this image?,3,Complex_Counting
363,594,6456.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
364,595,6457.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
365,596,6457.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
366,597,6457.JPG,How many non flooded buildings can be seen in this image?,3,Complex_Counting
367,598,6457.JPG,How many buildings can be seen in the image?,3,Simple_Counting
368,599,6457.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
369,600,6458.JPG,How many buildings can be seen in this image?,6,Simple_Counting
370,601,6458.JPG,What is the condition of road?,non flooded,Condition_Road
371,602,6458.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
372,603,6458.JPG,Is the entire road flooded?,No,Yes/No_Road
373,604,6458.JPG,How many buildings are non flooded?,6,Complex_Counting
374,605,6459.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
375,606,6459.JPG,How many buildings can be seen in this image?,1,Simple_Counting
376,607,6459.JPG,How many buildings are non flooded?,1,Complex_Counting
377,608,6459.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
378,609,6459.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
379,610,6460.JPG,How many buildings are non flooded in this image?,2,Complex_Counting
380,611,6460.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
381,612,6460.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
382,613,6460.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
383,614,6460.JPG,How many buildings are in the image?,2,Simple_Counting
384,615,6461.JPG,How many buildings can be seen in this image?,2,Simple_Counting
385,616,6461.JPG,How many non flooded buildings can be seen in this image?,2,Complex_Counting
386,617,6461.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
387,618,6462.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
